"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname","DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME","GEODB_OID","OBJECTID","MAP_SYMBOL","MAP_TYPE","LENGTH","SHAPE_AREA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Corio",250,95855,101394,0,0,989.448,"Corio",10,10,"Final Divisional Boundary","Metro",295184.580245211,990105877.021541
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Deakin",240,95110,99849,0,0,69.8003,"Deakin",11,11,"Final Divisional Boundary","Metro",51773.7092204157,69833223.4441424
NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Dunkley",241,93680,98427,0,0,139.996,"Dunkley",12,12,"Final Divisional Boundary","Metro",66096.4884398615,140078398.298089
NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Flinders",328,97220,102063,0,0,1952.4,"Flinders",13,13,"Final Divisional Boundary","Rural",335149.854504714,2628800635.00785
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Goldstein",232,95895,101770,0,0,50.4044,"Goldstein",14,14,"Final Divisional Boundary","Metro",36508.5421855414,50433641.6281401
NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Gorton",186,86830,104496,0,0,561.542,"Gorton",15,15,"Final Divisional Boundary","Metro",115731.915022272,561939058.729766
NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Higgins",279,92939,99993,0,0,39.868,"Higgins",16,16,"Final Divisional Boundary","Metro",35500.8059204551,39887569.3702356
NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Holt",209,91065,103874,0,0,131.215,"Holt",17,17,"Final Divisional Boundary","Metro",62673.4342120473,131357154.189012
NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Hotham",221,95201,99845,0,0,75.0985,"Hotham",18,18,"Final Divisional Boundary","Metro",38721.8913068446,75141068.1366423
NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Indi",327,93799,98015,0,0,28561.25,"Indi",19,19,"Final Divisional Boundary","Rural",1399563.5569265,28564612726.3567
NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Isaacs",224,89509,98525,0,0,165.892,"Isaacs",20,20,"Final Divisional Boundary","Metro",64921.4023208258,165991790.068413
NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Jagajaga",238,99720,102871,0,0,127.916,"Jagajaga",21,21,"Final Divisional Boundary","Metro",100076.277770354,127922062.335336
NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Kooyong",249,93969,98449,0,0,52.2927,"Kooyong",22,22,"Final Divisional Boundary","Metro",44679.2272906442,52434741.2841665
NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Lalor",206,87898,103554,0,0,545.638,"Lalor",24,24,"Final Divisional Boundary","Metro",123342.112125043,545839737.546236
NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Mallee",355,95248,97988,0,0,73878.68,"Mallee",25,25,"Final Divisional Boundary","Rural",2085927.72173046,73912336133.0991
NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Maribyrnong",248,101158,104399,0,0,72.5144,"Maribyrnong",26,26,"Final Divisional Boundary","Metro",54034.9977097093,72534110.6424336
NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"McEwen",207,90003,104401,0,0,4592.08,"McEwen",27,27,"Final Divisional Boundary","Rural",540061.289980696,4592444523.89556
NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Melbourne",343,85546,100575,0,0,46.3734,"Melbourne",29,29,"Final Divisional Boundary","Metro",39945.8525653533,46396493.9017965
NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Melbourne Ports",316,85983,98016,0,0,40.1226,"Melbourne Ports",30,30,"Final Divisional Boundary","Metro",45208.2016890692,40146067.3826604
NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"Menzies",200,97188,100335,0,0,124.826,"Menzies",31,31,"Final Divisional Boundary","Metro",88294.8616965718,124760393.736514
NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"Murray",298,96110,100085,0,0,19500.27,"Murray",32,32,"Final Divisional Boundary","Rural",1305525.60744446,19501949448.311
NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Scullin",202,96914,103508,0,0,169.081,"Scullin",33,33,"Final Divisional Boundary","Metro",91870.5510317278,169157931.596911
NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Wannon",318,94195,99364,0,0,32045.71,"Wannon",34,34,"Final Divisional Boundary","Rural",1389555.08593041,32062098953.8962
NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Wills",276,97713,104610,0,0,56.8301,"Wills",35,35,"Final Divisional Boundary","Metro",42112.7263065902,56850655.4945695
NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Gellibrand",270,97178,103171,0,0,101.639,"Gellibrand",36,36,"Final Divisional Boundary","Metro",73696.3751547235,101710364.526674
NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Gippsland",286,95719,102036,0,0,33059.29,"Gippsland",38,38,"Final Divisional Boundary","Rural",1192177.67294095,33261533736.4692
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"La Trobe",0,0,0,0,0,0,"La Trobe",45,45,NA,NA,177316.941748587,561162547.422212
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Mcmillan",0,0,0,0,0,0,"McMillan",46,46,NA,NA,926922.655342243,8360147777.28225
1,"Brand",301,90093,96631,0,0,377.34061216559,"Brand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Canning",306,90883,96383,0,0,6304.2826867164,"Canning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Cowan",318,93613,100388,0,0,179.89785250451,"Cowan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Curtin",336,94033,99066,0,0,97.821263111884,"Curtin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Durack",509,95644,100543,0,0,1629857.7169997,"Durack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Forrest",334,94559,98311,0,0,11071.808585399,"Forrest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Fremantle",311,94241,100408,0,0,196.29688468202,"Fremantle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Hasluck",347,91739,97337,0,0,1192.4523421716,"Hasluck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Moore",350,98158,102958,0,0,90.051131839836,"Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Burt",316,93763,100530,0,0,172.37424491618,"Burt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"O'Connor",473,99006,103123,0,0,868575.99819074,"O'Connor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Pearce",331,91678,98945,0,0,13250.093994521,"Pearce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Perth",330,94518,100895,0,0,80.395633534249,"Perth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Stirling",333,95584,101801,0,0,74.147083660318,"Stirling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Swan",352,93811,99687,0,0,133.88594130483,"Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Tangney",320,93090,97967,0,0,83.092372117187,"Tangney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
