"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"125","ACT",102,"Fraser",8806,"Campbell",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",911,-1.46
"126","ACT",102,"Fraser",8806,"Campbell",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",924,1.46
"127","ACT",102,"Fraser",8807,"Charnwood",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1002,-0.39
"128","ACT",102,"Fraser",8807,"Charnwood",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1783,0.39
"129","ACT",102,"Fraser",8808,"City",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",387,-3.4
"130","ACT",102,"Fraser",8808,"City",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1092,3.4
"131","ACT",102,"Fraser",32465,"City FRASER PPVC",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",2982,1.86
"132","ACT",102,"Fraser",32465,"City FRASER PPVC",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",5685,-1.86
"133","ACT",102,"Fraser",8809,"Dickson",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",329,-0.17
"134","ACT",102,"Fraser",8809,"Dickson",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",763,0.17
"135","ACT",102,"Fraser",30093,"Divisional Office (PREPOLL)",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",986,-1
"136","ACT",102,"Fraser",30093,"Divisional Office (PREPOLL)",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",2194,1
"137","ACT",102,"Fraser",8810,"Downer",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",304,-2.23
"138","ACT",102,"Fraser",8810,"Downer",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",832,2.23
"139","ACT",102,"Fraser",8812,"Evatt",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",814,-0.55
"140","ACT",102,"Fraser",8812,"Evatt",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1498,0.55
"141","ACT",102,"Fraser",8813,"Evatt South",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",462,4.35
"142","ACT",102,"Fraser",8813,"Evatt South",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",743,-4.35
"143","ACT",102,"Fraser",8814,"Florey",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",638,1
"144","ACT",102,"Fraser",8814,"Florey",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1058,-1
"145","ACT",102,"Fraser",65493,"Forde",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",606,6.46
"146","ACT",102,"Fraser",65493,"Forde",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",597,-6.46
"147","ACT",102,"Fraser",34238,"Fraser Central",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1016,-0.74
"148","ACT",102,"Fraser",34238,"Fraser Central",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1745,0.74
"149","ACT",102,"Fraser",8816,"Giralang",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",528,-1.23
"150","ACT",102,"Fraser",8816,"Giralang",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",982,1.23
"151","ACT",102,"Fraser",34240,"Gungahlin",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1004,-0.51
"152","ACT",102,"Fraser",34240,"Gungahlin",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1254,0.51
